ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
NUBQOT,1.816,991.477,O=N(=O)C1=NN(C(=C1)N(=O)=O)C1=NON=C1N(=O)=O,14
NUBZAM,1.239,1905.146,CC1=C2[C@@H](CC1)[C@@](C)(CC[C@@H]1[C@H]2C1(C)C)OCc1ccc(cc1)N(=O)=O,2
NUBZEQ,1.216,3882.909,CC1=C2[C@@H](CC1)[C@](C)(CC[C@@H]1[C@H]2C1(C)C)OCc1ccc(cc1)N(=O)=O,15
NUBZIU,1.303,1464.989,CC1=C2C[C@@H](OC([C@H]2CC1)(C)C)c1ccc(cc1)N(=O)=O,14
NUCDEW,1.369,1310.756,N#CC([C@@]1(CN(=O)=O)C(=O)Nc2c1cc(C)cc2)C#N,14
NUCHOI,1.31,682.796,CCOC(=O)[C@@H]1C[C@@H]2C(=O)CCC[C@H]2[C@@H](C1)N(=O)=O,2
NUCNOO,1.394,1755.227,O=C1[C@H]2O[C@@]3(N1[C@H](COC3)c1ccccc1)O[C@@H]2c1ccc(cc1)N(=O)=O,19
NUDFOK,1.424,3250.772,O=N(=O)c1ccc(cc1)C1=C2N=C3CCCC[C@@H]3OC3=CC=CC(=N1)N23,15
NUDLIH,1.311,1136.231,CC[NH+](CC)Cc1cc(ccc1[O-])N(=O)=O,2
NUDPUA,1.43,3505.41,CC(=O)CCC1=C(c2ccc(cc2)N(=O)=O)C2=C(O1)c1ccccc1OC2=O,15
NUDQAH,1.263,1658.309,O=N(=O)[C@@H]1[C@@H](c2ccccc2)[C@H]2[C@]3([C@]1(O)CCC3)CCCC2=O,19
NUDQEL,1.306,1359.366,CC[C@H]1[C@@H]2C(=O)CCC[C@]32[C@]([C@@H]1N(=O)=O)(O)CCC3,14
NUDQIP,1.309,1742.09,O=C1CC(C)(C)C[C@]23[C@@H]1[C@H](c1ccccc1)[C@H]([C@]3(O)CCC2)N(=O)=O,14
NUDQOV,1.322,1655.182,O=C1CCCC[C@@]23[C@@H]1[C@H](c1ccccc1)[C@H]([C@@]3(O)CCC2)N(=O)=O,14
NUDQUB,1.266,3604.046,O=C1CC(C)(C)C[C@@]23[C@@H]1[C@H](c1ccccc1)[C@H]([C@@]3(O)CCC2)N(=O)=O,15
NUFDOJ,1.754,274.702,OCN1N=NC(=N1)N(=O)=O,4
NUGSOY,1.324,1446.615,O=N(=O)c1cccc(c1)c1cc(/C=C/C=C/c2ccccc2)c(cc1/C=C/C=C/c1ccccc1)c1cccc(c1)N(=O)=O,14
NUGVAP,1.474,1596.359,COC(=O)C1=C(C(=O)O[C@@]1(N)c1ccccc1)c1ccc(cc1)N(=O)=O,14
NUGZIY,1.337,1168.672,COC[C@@H]1[C@H](COC)C=C[C@H]([C@@H]1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)Cc1ccccc1,2
NUHTOA,1.323,1070.718,C[C@@H]1C[C@H]1CC[C@@H](/C(=N/Nc1ccc(cc1N(=O)=O)N(=O)=O)/C)OCc1ccccc1,2
NUJFII,1.415,829.006,CCOC(=O)C(/C(=C\c1ccc(cc1)OC)/N(=O)=O)(C(=O)OCC)O,2
NUKBOK,1.247,2345.958,CC1(C)NC(C)(C)c2cc(ccc12)N(=O)=O,15
NUKCEE,1.385,2697.942,O=C1CCC[C@H]2[C@@H]1[C@]1(O)CCC(=O)[C@@]1(C[C@H]2N(=O)=O)C,19
NUKCII,1.366,1367.599,O=C1CCC[C@H]2[C@H]1[C@]1(O)CCC(=O)[C@@]1(C[C@H]2N(=O)=O)C,19
NUKHOT,1.343,1551.963,COc1cc(CC=C)cc(c1O)N(=O)=O,2
NUKHUZ,1.434,2063.094,O=C(c1ccc(cc1)N(=O)=O)OC[C@@]12O[C@@H]([C@H](C1)C(=O)c1ccccc1O)c1c2cccc1,14
NUKMAJ,1.38,1585.382,O=C1CC[C@H]2C(=O)[C@]1(C)CC[C@H]2CC(=O)c1ccc(cc1)N(=O)=O,19
NUKPIT,1.343,8591.616,CCOC(=O)[C@@H]1C[C@]2(C[C@H](C[C@@](C1)([C@H]2c1ccccc1)N(=O)=O)C(=O)OCC)N(=O)=O,88
NUKPOZ,1.401,2201.671,CCOC(=O)[C@@H]1C[C@]2(C[C@@H](C[C@@](C1)([C@@H]2c1ccc(cc1)OC)N(=O)=O)C(=O)OCC)N(=O)=O,14
NULCUV,1.414,3300.983,O=C1N2C[N@]([C@]1(C)c1ccc(cc1)N(=O)=O)CCC(=O)c1c2cccc1,15
NULGEI,1.313,1489.331,O=N(=O)[C@H]1C(=O)NC(=C[C@@H]1c1ccccc1)c1ccccc1,14
NUMLEP,1.423,2130.153,COc1ccc(cc1)c1ccc(cc1N(=O)=O)c1ccc(c2ccc(OC)cc2)c(c1)N(=O)=O,14
NUMSAS,1.196,4059.543,O=C1C(=C/C(=C/C=C/c2ccc(cc2)N(=O)=O)/C=C1C(C)(C)C)C(C)(C)C,14
NUMXAV,1.751,307.51,CNC(N)=C(N(=O)=O)N(=O)=O,4
NUNCOO,1.202,2140.696,OC[C@@H](c1ccccc1)Nc1ccc(cc1)N(=O)=O,148
NUNFOT,1.452,1396.441,CCOC(=O)C1=C(C)NC(=O)N[C@H]1c1ccccc1N(=O)=O,14
NUNGEJ,1.351,2057.958,COC(=O)[C@@]12[C@H](C)CC[C@@]2(C)[C@@H](CC/C/1=N\Nc1ccc(cc1N(=O)=O)N(=O)=O)C,14
NUNLOX,1.31,4933.133,CCCOc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)N1C(=O)c2ccccc2C1=O)c5OCCC)N(=O)=O)c4OCCC)N1C(=O)c2ccccc2C1=O)c3OCCC)N(=O)=O,15
NUNPER,1.374,1775.869,CCO[C@H]1OC2=C([C@H](C1)c1ccccc1N(=O)=O)C(=O)Oc1c2cccc1,14
NUPJAJ,1.529,1208.241,COc1ccc2ccc(OC)c(c2c1N(=O)=O)N(=O)=O,15
NUPJIR,1.424,1984.75,CN(C)c1cccc2c(ccc(N(C)C)c12)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,14
NUPMES,1.412,1068.929,O=N(=O)c1ccc(cc1)/N=C/c1ccccn1,14
NUPMES01,1.411,1069.337,O=N(=O)c1ccc(cc1)/N=C/c1ccccn1,14
NUPNES,1.439,1363.385,O=C(c1ccc(cc1)N(=O)=O)N/N=C/C=C/c1ccccc1,14
NUPNIW,1.445,1348.435,O=C(Oc1ccc(cc1)N(=O)=O)c1cccc2ccccc12,14
NUPPOD,1.366,474.431,CCOC(=O)c1ccc(cc1)N(=O)=O,2
